央视直播1,#genre#
CCTV1,http://42.243.39.92:7788/608807420
CCTV2,http://42.243.39.92:7788/631780532
CCTV3,http://42.243.39.92:7788/624878271
CCTV4,http://42.243.39.92:7788/631780421
CCTV5,http://42.243.39.92:7788/641886683
CCTV6,http://42.243.39.92:7788/624878396
CCTV7,http://42.243.39.92:7788/673168121
CCTV8,http://42.243.39.92:7788/624878356
CCTV9,http://42.243.39.92:7788/673168140
CCTV10,http://42.243.39.92:7788/624878405
CCTV11,http://42.243.39.92:7788/667987558
CCTV12,http://42.243.39.92:7788/673168185
CCTV13,http://42.243.39.92:7788/608807423
CCTV14,http://42.243.39.92:7788/624878440
CCTV15,http://42.243.39.92:7788/673168223
CCTV17,http://42.243.39.92:7788/673168256
CCTV5+,http://42.243.39.92:7788/641886773
东方卫视,http://42.243.39.92:7788/651632648
江苏卫视,http://42.243.39.92:7788/623899368
广东卫视,http://42.243.39.92:7788/608831231
北京卫视,http://42.243.39.92:7788/630287636
辽宁卫视,http://42.243.39.92:7788/630291707
河北卫视,http://42.243.39.92:7788/962042070
江西卫视,http://42.243.39.92:7788/783847495
陕西卫视,http://42.243.39.92:7788/738910838
湖北卫视,http://42.243.39.92:7788/947472496
农林卫视,http://42.243.39.92:7788/956904896
兵团卫视,http://42.243.39.92:7788/956923145
东方影视,http://42.243.39.92:7788/617290047
抗战经典影片,http://42.243.39.92:7788/617432318
新片放映厅,http://42.243.39.92:7788/619495952
辽宁影视剧频道,http://42.243.39.92:7788/962067517
陕西银龄频道,http://42.243.39.92:7788/956909362
陕西都市青春频道,http://42.243.39.92:7788/956909358
上海新闻综合,http://42.243.39.92:7788/651632657
辽宁公共频道,http://42.243.39.92:7788/962045223
辽宁生活频道,http://42.243.39.92:7788/962045226
赛事最经典,http://42.243.39.92:7788/646596895
体坛名栏汇,http://42.243.39.92:7788/629943305
四海钓鱼,http://42.243.39.92:7788/637444975
陕西体育,http://42.243.39.92:7788/956909356
辽宁体育,http://42.243.39.92:7788/962067526
经典香港电影,http://42.243.39.92:7788/625703337
CHC动作电影,http://42.243.39.92:7788/644368714
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://42.243.39.92:7788/644368373
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC影迷电影,http://42.243.39.92:7788/952383261
央视直播2,#genre#
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8
